run,count,p50_ms,p90_ms,p95_ms,p99_ms,min_ms,max_ms,mean_ms
latencies_u1_rep1,112,51.236473009339534,1075.9975957931604,1121.9265827035997,1279.6714882692322,19.561808003345504,1564.2374369926983,365.2637503578912
latencies_u1_rep2,117,51.23255999933463,1028.9583614008734,1105.3133151930522,1424.3753154453589,18.46475800266489,1472.5738470006036,350.69233497443537
latencies_u1_rep3,96,56.455724996339995,1045.4224299974157,1163.1736454983184,1284.1955565054375,19.126148006762374,1367.830867995508,449.77307068787314
latencies_u10_rep1,100,6288.288781499432,10099.725891101116,10137.436955602607,10491.097716128425,15.339985999162309,10492.259394013672,5130.59635028083
latencies_u10_rep2,94,10018.050724502245,10120.48423820379,10976.455709293077,11859.62247824951,16.131825002958067,12000.164573008078,5637.167315426539
latencies_u10_rep3,88,10033.108812502178,10193.780966097256,12778.875426655557,14034.340345506642,16.963423011475243,14121.184290997917,6213.744006931433
latencies_u20_rep1,93,10048.273480002536,19901.686784799673,20010.981562003144,20123.48727251694,15.940823999699203,20130.39428199409,10063.650331032613
latencies_u20_rep2,82,10903.270566508581,20084.54474449827,20096.788483508135,20114.40624518349,20.11070300068241,20139.74727501045,11857.307092035891
latencies_u20_rep3,82,10853.150512491993,20042.455084389076,20046.891459060134,20052.645530699374,23.50949800165836,20060.769935997087,11768.619484365556
